source_file,experiment_code,run,week,temperature,star_id,date,time,flip_number,start_frame,end_frame,duration_frames,duration_seconds,seconds_from_first_flip_start,total_frames
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,1,17,121,105,52.5,0.0,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,2,140,195,56,28.0,61.5,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,3,229,339,111,55.5,106.0,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,4,367,440,74,37.0,175.0,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,5,455,514,60,30.0,219.0,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,6,531,601,71,35.5,257.0,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,7,626,699,74,37.0,304.5,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,8,720,767,48,24.0,351.5,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,9,791,825,35,17.5,387.0,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,10,852,893,42,21.0,417.5,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,11,926,961,36,18.0,454.5,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,12,986,1036,51,25.5,484.5,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,13,1063,1118,56,28.0,523.0,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,14,1147,1188,42,21.0,565.0,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,15,1212,1223,12,6.0,597.5,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i11\0-11_12_23-14_51_47-i11.csv,R1_W1_12C,R1,W1,12C,i11,2023-11-12,14:51:47,16,1224,1278,55,27.5,603.5,1361
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,1,56,116,61,30.5,0.0,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,2,134,159,26,13.0,39.0,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,3,189,275,87,43.5,66.5,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,4,296,376,81,40.5,120.0,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,5,402,468,67,33.5,173.0,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,6,493,539,47,23.5,218.5,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,7,560,600,41,20.5,252.0,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,8,635,661,27,13.5,289.5,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,9,693,750,58,29.0,318.5,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,10,778,826,49,24.5,361.0,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,11,872,913,42,21.0,408.0,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,12,955,973,19,9.5,449.5,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,13,1003,1032,30,15.0,473.5,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,14,1057,1103,47,23.5,500.5,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,15,1126,1153,28,14.0,535.0,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i3\0-11_12_23-14_10_13-i3.csv,R1_W1_12C,R1,W1,12C,i3,2023-11-12,14:10:13,16,1181,1226,46,23.0,562.5,1265
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,1,14,413,400,200.0,0.0,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,2,471,501,31,15.5,228.5,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,3,567,614,48,24.0,276.5,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,4,634,657,24,12.0,310.0,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,5,704,740,37,18.5,345.0,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,6,767,847,81,40.5,376.5,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,7,863,940,78,39.0,424.5,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,8,962,1006,45,22.5,474.0,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,9,1024,1084,61,30.5,505.0,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,10,1095,1157,63,31.5,540.5,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\i8\0-11_12_23-14_36_34-i8.csv,R1_W1_12C,R1,W1,12C,i8,2023-11-12,14:36:34,11,1168,1218,51,25.5,577.0,1255
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,1,40,99,60,30.0,0.0,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,2,139,191,53,26.5,49.5,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,3,212,301,90,45.0,86.0,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,4,324,398,75,37.5,142.0,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,5,411,512,102,51.0,185.5,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,6,530,559,30,15.0,245.0,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,7,581,619,39,19.5,270.5,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,8,638,699,62,31.0,299.0,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,9,727,752,26,13.0,343.5,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,10,776,806,31,15.5,368.0,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,11,825,878,54,27.0,392.5,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,12,893,925,33,16.5,426.5,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,13,927,939,13,6.5,443.5,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,14,958,1012,55,27.5,459.0,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,15,1040,1059,20,10.0,500.0,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,16,1082,1123,42,21.0,521.0,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,17,1134,1179,46,23.0,547.0,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p12\0-11_12_23-13_56_34-p12.csv,R1_W1_12C,R1,W1,12C,p12,2023-11-12,13:56:34,18,1209,1232,24,12.0,584.5,1247
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p6\0-11_12_23-13_11_25-p6.csv,R1_W1_12C,R1,W1,12C,p6,2023-11-12,13:11:25,1,1,36,36,18.0,0.0,1554
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p6\0-11_12_23-13_11_25-p6.csv,R1_W1_12C,R1,W1,12C,p6,2023-11-12,13:11:25,2,87,158,72,36.0,43.0,1554
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p6\0-11_12_23-13_11_25-p6.csv,R1_W1_12C,R1,W1,12C,p6,2023-11-12,13:11:25,3,178,214,37,18.5,88.5,1554
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p6\0-11_12_23-13_11_25-p6.csv,R1_W1_12C,R1,W1,12C,p6,2023-11-12,13:11:25,4,241,293,53,26.5,120.0,1554
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p6\0-11_12_23-13_11_25-p6.csv,R1_W1_12C,R1,W1,12C,p6,2023-11-12,13:11:25,5,316,349,34,17.0,157.5,1554
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p6\0-11_12_23-13_11_25-p6.csv,R1_W1_12C,R1,W1,12C,p6,2023-11-12,13:11:25,6,367,467,101,50.5,183.0,1554
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p6\0-11_12_23-13_11_25-p6.csv,R1_W1_12C,R1,W1,12C,p6,2023-11-12,13:11:25,7,483,529,47,23.5,241.0,1554
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p6\0-11_12_23-13_11_25-p6.csv,R1_W1_12C,R1,W1,12C,p6,2023-11-12,13:11:25,8,547,622,76,38.0,273.0,1554
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p6\0-11_12_23-13_11_25-p6.csv,R1_W1_12C,R1,W1,12C,p6,2023-11-12,13:11:25,9,643,689,47,23.5,321.0,1554
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p6\0-11_12_23-13_11_25-p6.csv,R1_W1_12C,R1,W1,12C,p6,2023-11-12,13:11:25,10,703,866,164,82.0,351.0,1554
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p6\0-11_12_23-13_11_25-p6.csv,R1_W1_12C,R1,W1,12C,p6,2023-11-12,13:11:25,11,892,928,37,18.5,445.5,1554
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p6\0-11_12_23-13_11_25-p6.csv,R1_W1_12C,R1,W1,12C,p6,2023-11-12,13:11:25,12,944,1012,69,34.5,471.5,1554
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p6\0-11_12_23-13_11_25-p6.csv,R1_W1_12C,R1,W1,12C,p6,2023-11-12,13:11:25,13,1043,1077,35,17.5,521.0,1554
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p6\0-11_12_23-13_11_25-p6.csv,R1_W1_12C,R1,W1,12C,p6,2023-11-12,13:11:25,14,1090,1525,436,218.0,544.5,1554
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,1,31,119,89,44.5,0.0,1290
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,2,137,165,29,14.5,53.0,1290
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,3,181,239,59,29.5,75.0,1290
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,4,255,280,26,13.0,112.0,1290
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,5,296,370,75,37.5,132.5,1290
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,6,380,465,86,43.0,174.5,1290
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,7,497,527,31,15.5,233.0,1290
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,8,563,632,70,35.0,266.0,1290
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,9,672,722,51,25.5,320.5,1290
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,10,740,827,88,44.0,354.5,1290
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,11,847,919,73,36.5,408.0,1290
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,12,950,997,48,24.0,459.5,1290
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,13,1013,1058,46,23.0,491.0,1290
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,14,1086,1119,34,17.0,527.5,1290
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,15,1159,1186,28,14.0,564.0,1290
D:\PycnoStressMonitor\data\cold_box_flips\R1_W1_12C\p9\0-11_12_23-13_26_32-p9.csv,R1_W1_12C,R1,W1,12C,p9,2023-11-12,13:26:32,16,1226,1266,41,20.5,597.5,1290
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,1,27,133,107,53.5,0.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,2,160,217,58,29.0,66.5,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,3,232,264,33,16.5,102.5,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,4,300,372,73,36.5,136.5,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,5,397,428,32,16.0,185.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,6,457,506,50,25.0,215.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,7,524,587,64,32.0,248.5,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,8,631,654,24,12.0,302.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,9,671,785,115,57.5,322.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,10,813,919,107,53.5,393.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,11,973,1026,54,27.0,473.0,1439
D:\PycnoStressMonitor\data\cold_box_flips\R1_W2_14-5C\i11\0-11_19_23-13_49_28-i11.csv,R1_W2_14-5C,R1,W2,14.5C,i11,2023-11-19,13:49:28,12,1057,1083,27,13.5,515.0,1439
